date,headline,summary
2022-08-05,The Fake Team That Made Solana DeFi Look Huge,We already knew that crypto developers cannot always be trusted. But can we even trust the data?
2022-08-05,How 2 Brothers Faked a Defi Ecosystem Using Anonymous Personas,"A CoinDesk investigation revealed how the Macalinao brothers used a web of bogus identities to create the illusion of a developer community, juicing value on the Saber protocol and Solana blockchain. CoinDesk Deputy Managing Editor Tracy Wang discusses the key takeaways and the impact on the future of DeFi."
2022-08-08,Cashmere Raises $3M at $30M Valuation to Build Solana Enterprise Wallet,"Investors in the seed funding round included Coinbase Ventures, FBG Capital and YCombinator."
2022-08-08,Crypto Options Trading on Solana Has Mostly Fizzled. A New DEX Has a Plan to Change That,"OptiFi went live Monday, bringing portfolio margining to the Solana options trading ecosystem."
2022-08-10,Crypto Wallet Provider Phantom Says Its Systems Were Not Compromised in $4M Hack,"After a nearly week-long investigation, its team found no vulnerabilities that could explain the exploit."
2022-08-10,Corn Farmers Hedge Their Crops With Futures. This Solana DEX Wants Vaildators to Follow Suit,"Cypher, which launched a new service Wednesday, thinks the futures markets can help validators hedge their risks."
2022-08-16,Jump Crypto Picked to Revamp Solana to Make Blockchain More Reliable,The crypto trading firm and builder is reupping its commitment after the once-hot blockchain hit potholes.
2022-08-17,Solana’s Biggest DeFi Lender Is Leaning Into 'Permissionless' Loan Markets,These “permissionless pools'' don't have any of the safeguards afforded to Solend’s whitelisted markets. That’s by design.
2022-08-18,Crypto Custodian Copper to Connect to Solana for DeFi Access,Solana co-founder Anatoly Yakovenko said the link will create new ways for institutional investors to access decentralized finance and digital assets.
2022-08-18,Run-To-Earn Game Stepn Teams With Atlético de Madrid and Crypto Exchange WhaleFin for NFT Sneaker Collection,"The companies are releasing over 1,000 digital soccer cleats compatible for run-to-earn and eligible for real world rewards."
2022-08-23,Solana-based Projects Team Up to Make Cross-Chain Messaging Standard,"Notifi Network, Bonfida and Only1 are leading a 19-member effort known as the ""Open Chat Alliance."""
2022-08-29,‘Obvious Nonsense’: Prominent Blockchain’s Founder Dismisses Smear Campaign Allegation,Avalanche founder Emin Gün Sirer said the allegations – which drove the AVAX token down about 11% – are “categorically false.”
2022-08-30,Betting Platform BetDEX Labs Likes the Odds for Its Decentralized Sports Exchange,"Chairman Nigel Eccles wants to cut out the middleman, and thinks a Solana protocol is the way to go, he told CoinDesk TV’s “First Mover.”"
2022-08-30,BetDEX Labs Chairman on Future of Decentralized Sports Betting,"Nigel Eccles, Chairman and co-founder of global sports betting exchange BetDEX Labs, breaks down how decentralized sports wagering works, the benefits of building on the Monaco protocol on Solana and similarities to prediction markets."
2022-08-30,Solana-Based Automation Network Clockwork Raises $4M in Seed Funding,The decentralized network utilizes the Solana validator to facilitate tasks such as automated payments.
2022-08-30,The Problem With Betting Exchanges and How BetDEX Aims to Solve it,"BetDEX, a decentralized sports betting exchange built on Solana, aims to disrupt the legacy gambling industry. BetDEX Labs Chairman and co-founder Nigel Eccles explains the centralization problem with traditional betting exchanges and how his protocol differs."
2022-08-30,Solana-Based DeFi Protocol OptiFi Loses $661K in Programming Blunder,The platform said it will reimburse all users' funds.
2022-08-30,"Crypto Custody Technology Firm Fireblocks Adds Support for Solana Blockchain’s DeFi, NFT, Gaming Apps","The integration also pushes support for the WalletConnect2 protocol across the Solana ecosystem, said Fireblocks CEO Michael Shaulov."
2022-08-30,Slow Ventures Raises Stakes on Crypto Governance with ‘Timber sDAO’,"The venture capital firm's first ""legally compliant DAO"" bought land, and the second so-called sDAO is buying more. But this time, land with trees."
2022-09-01,Helium Proposes Shifting its Entire Network to Solana Blockchain Months After $200M Raise,Developers cited faster transactions and “higher uptimes” among several reasons behind the proposed move.
2022-09-01,"Chilliz, Cosmos and EOS Tokens the Best Crypto Performers in August in Bear Market",Positive news helped certain altcoins buck the general downtrend.
2022-09-01,"Controversial Crypto Lawyer Kyle Roche Pulls Out of Nexo, Binance.US, Solana and Dfinity Lawsuits","The new withdrawals come a day after Roche filed to withdraw from class-action lawsuits involving Tether, Bitfinex, TRON and BitMEX."
2022-09-02,The Macalinao Brothers Leave VC Firm After CoinDesk Exposé,"Prolific crypto developers Ian and Dylan Macalinao have left their venture capital firm Protagonist VC. This comes after the Macalinao brothers used a web of secret identities to juice the value of their Solana-based DeFi project ""Saber"" and later pivoted to startup investing with a $100 million fund, as CoinDesk reported in August. ""The Hash"" panel discusses the latest fallout of the crypto industry's pseudonymous economy."
2022-09-06,NFT Software Firm Dust Labs Raises $7M in Seed Round,"Non-fungible token (NFT) software company Dust Labs has raised $7 million, announced during the pandemonium for its Solana-based y00ts NFT minting on Monday. “The Hash” panel shares outlook on NFT market growth amid a crypto winter."
2022-09-06,NFT Software Company Dust Labs Raises $7M During y00ts Release,The announcement came during the high-profile and long-anticipated minting that’s taken the Solana NFT community by storm.
2022-09-08,Hubble Protocol Raises $5M to Expand Solana-Based DeFi Protocol,The protocol aims to create a Solana-based equivalent of MakerDao: a DeFi protocol with a U.S. dollar denominated stablecoin.
2022-09-12,Algorand Boosters Push Back on Helium’s Proposed Move to Solana,Decentralized Wi-Fi network Helium Network has proposed moving to the Solana blockchain. But a Solana competitor has another idea in mind.
2022-09-13,Why Solana-Based Marketplaces Are Booming,The top Solana-based non-fungible token (NFT) marketplaces are seeing sales volumes surge to their highest level since May. Solana Labs Chief Operating Officer Raj Gokal shares his insights.
2022-09-13,"Solana COO on NFT Markets, Ethereum Merge, Network Stability","Solana-based non-fungible token (NFT) marketplaces are seeing booming sales volumes, although the wider NFT sector is down roughly 80% year-to-date. Solana Labs Chief Operating Officer Raj Gokal shares insights into the Solana ecosystem and how it differentiates from the competition. Plus, Gokal's take on the upcoming Ethereum Merge and Solana's Web3 mobile phone."
2022-09-13,"Solana Co-Founder Sees Upside From Ethereum’s Merge, Saga Web 3 Mobile","Raj Gokal, Solana Labs’ chief operating officer, joined CoinDesk TV’s “First Mover” to discuss what the Merge could mean for Ethereum and how his company’s mobile phone will stack up against the iPhone 14."
2022-09-22,Helium Ditches Own Blockchain in Favor of Solana After Community Vote,"Voter turnout showed overwhelming support for moving Helium’s native network to Solana, with 80% of voters in favor in early Asian hours on Thursday."
2022-09-22,Nova Labs CEO ‘Very Confident’ About Helium’s Migration to Solana,"Helium community members have voted to move the decentralized WiFi network from its blockchain, officially known as HIP 70, to the Solana blockchain. Nova Labs CEO and founder Amir Haleem discusses why Solana is a better option and how the migration will help scale the protocol through more efficient transactions as well as interoperability."
2022-09-22,Helium Ditches Own Blockchain in Favor of Solana After Community Vote,Community members of crypto-powered wireless network Helium overwhelmingly voted to ditch its blockchain and migrate to Solana. Helium also announced that subscribers will get U.S. nationwide 5G coverage through a new five-year agreement with cellular giant T-Mobile.
2022-09-22,"Nova Labs CEO: At This Point We Wouldn't Consider Algorand, the Vote Is Over","Nova Labs CEO Amir Haleem says the Helium Network won't consider Algorand as layer 1 at this point because ""the votes are already passed."" He added that ""the desire to look at other L1 blockchains was telegraphed months and months ago."" He explains the community's decision move to the Solana blockchain."
2022-09-23,Italy's AC Milan Launches NFT Game With MonkeyLeague,The new partnership with an esports franchise signals the soccer champion’s latest step forward into the web3 world.
2022-09-26,First Mover Asia: Bitcoin Sticks Near $19K; the Most ‘Profitable’ Mining GPU Makes You Back Your Money in 3 Years,Ether and other major cryptos spend much of the weekend in the red to close a turbulent week.
2022-09-28,"FTX Ventures, Jump Crypto Lead Funding Round in Executable NFT Wallet Startup","Solana-based developer Coral has raised $20 million in a strategic funding round co-led by the venture capital arm of FTX and Jump Crypto. The capital will go toward building out the first flagship product, Backpack, a wallet for executable non-fungible tokens or xNFTs. “The Hash” panel discusses what this means for NFT developments."
2022-10-04,Solana NFT Sales Jump in September Amid High Profile Projects: Report,"DappRadar data reveals that Solana NFT sales in September hit nearly $133 million, nearly double the $68.5 million from the previous month. “The Hash” team unpacks the outlook for Solana and the digital collectibles market amid crypto winter."
2022-10-06,Web3 Gaming a Long Way From Mainstream Adoption: Survey,"A study from Coda Labs shows only 3% of gamers own a non-fungible token (NFT) and generally don’t have positive feelings about crypto. Michael Wagner, CEO of Solana-based NFT game Star Atlas, discusses the state of Web3 gaming and the traditional gamer community."
2022-10-11,GSR Markets Exec on Crypto Buying Opportunities,"""It's becoming clear that there are more and more buying opportunities for [crypto protocols] which are revenue generating ... similar to the kind of TradFi opportunities that followed the great financial crisis in 2009,""  GSR Markets Global Head of Product Benoit Bosc says, naming Ethereum, Solana, Avalanche and NEAR."
2022-10-11,Solana-Based Decentralized Finance Platform Mango Hit by $100 Million Exploit,Mango's MNGO token was down over 40% after suffering from the latest massive decentralized finance exploit.
2022-10-12,Mango Markets Exploiter Provides Ultimatum: ‘Repay Bad Debt’,"Hacker proposes to send back stolen MSOL, SOL and MNGO if Mango Markets promises to pay back bad debt using USDC available in its treasury."
2022-10-12,How Market Manipulation Led to a $100M Exploit on Solana DeFi Exchange Mango,"The trader capitalized on a lack of liquidity by manipulating the price of MNGO on decentralized exchange, Mango."
2022-10-12,Centralized or Decentralized?,"BNB Chain and Solana outages raise questions around the centralization of blockchains. That story and other news shaping the cryptocurrency world in this episode of ""The Daily Forkast."""
2022-10-12,Market Manipulation Leads to $100M Exploit on Solana DeFi Exchange Mango,"A rogue crypto trader utilized millions of dollars to manipulate the prices of Mango’s MNGO tokens on the namesake Solana-based decentralized exchange (DEX) to eventually drain over $116 million in liquidity from the platform. ""The Hash"" panel discusses the details of the hack and revelations about the vulnerabilities of DeFi."
2022-10-15,NFT Marketplace Magic Eden Moves to Optional Royalty Model,"Solana’s top NFT marketplace is the latest platform to switch to a no-fee model, following in the controversial trend set by X2Y2 and others."
2022-10-17,Solana-Based NFT Marketplace Magic Eden Switches to Optional Royalty Model,"Solana's leading non-fungible token (NFT) marketplace Magic Eden is moving to an optional royalty model, following in the controversial trend set by X2Y2 and others. ""The Hash"" team discusses what this means for the world of digital collectibles."
2022-10-18,"FTX-, A16z-Backed Aptos Blockchain Is Off to a Sluggish Start",Transaction speeds and tokenomics disappoint on the first day of transactions for the ‘Solana killer’ chain run by ex-Meta employees. Can this protocol gain the trust of investors?
2022-10-18,What's in a Name? Apricot Finance's Token Surges on Similarity to Aptos Token's Ticker,"Trading volumes of the tokens jumped from under $70,000 on Monday to over $2.2 million."
2022-10-20,"In Defense of Aptos, Crypto's Punchline This Week",The much anticipated blockchain by ex-Facebook employees was off to a rocky start.
2022-10-20,Impact of Ethereum Merge on Smart Contract Blockchain Competitors,"Ernst & Young Principal and Global Innovation Leader and Ethereum ""pragmatist"" Paul Brody breaks down the key takeaways from his CoinDesk op-ed on the outlook for Ethereum competitors such as Solana, Terra, and Avalanche in the aftermath of the Ethereum Merge. Will the blockchain space not have a multichain future after all?"
2022-10-24,Magic Eden Dominance has Wavered,"Magic Eden's dominance as an NFT marketplace in the Solana ecosystem has wavered since the introduction of zero-royalty marketplaces. Galaxy Digital Research Associate Salmaan Qadir breaks down its dominance over time compared to other marketplaces like OpenSea, HadeSwap and more."
2022-11-02,DeFi Protocol Solend Struck by $1.26M Oracle Exploit,"The Stable, Coin98 and Kamino lending pools have all been disabled."
2022-11-02,Solana-Based NFT Marketplace Exchange.Art Creates Royalties Protection Standard,The new standard will enforce creator royalties on secondary sales of NFTs that originally mint on its platform.
2022-11-05,Solana’s SOL Spiked 15% on a Suggestive Tweet From Google Cloud,“Should we tell our followers the big news?” Google Cloud tweeted an hour before revealing what it was doing with Solana.
2022-11-05,Communications Startup Dialect Issues Tech Specs for ‘Smarter Messaging’ in Crypto,"""If we look at how standards get adopted, its a chaotic mix of right time right place,"" said CEO Chris Osborn."
2022-11-05,"Helium, Building Out Mobile Network, Plans to Give Free Trials to Solana Phone Users","Under the agreement, Saga phones sold in the U.S. will get a 30-day free subscription to Helium Mobile."
2022-11-07,"Tim Tebow on Athletes Taking Compensation in Bitcoin, Sports NFTs Outlook","Heisman Trophy Winner and former NFL quarterback Tim Tebow is leading an NFT integration for Nissan and its longtime Nissan Heisman House ad campaign through CAMPUS, a college sports NFT platform he co-founded backed by the Solana blockchain. Tebow joins ""First Mover"" to discuss the project and the outlook for athletes entering the Web3 space."
2022-11-07,Solana’s SOL Volatile Following Suggestive Tweet From Google Cloud,"Solana's native token SOL is paring gains after surging about 15% over the weekend, following a tweet from Google Cloud that tagged the blockchain’s co-founder suggesting an important disclosure was in the offing. ""First Mover"" hosts Christine Lee and Lawrence Lewitinn weigh in."
2022-11-07,Tim Tebow: College Sports NFT Platform CAMPUS is 'All About Honoring the Players',"CAMPUS, a college sports NFT platform backed by Solana and co-founded by Heisman Trophy winner and first-round NFL draft pick Tim Tebow, is leading an NFT integration for Nissan's Heisman House ad campaign. Tebow shares insights into the project, breaking down how the proceeds of the NFT sales will be paid out to student athletes. ""It is all about honoring the players,"" Tebow said. ""It is a players-first-driven model."""
2022-11-07,First Mover Asia: FTX's Sam Bankman-Fried Talks Consumer Protection and Crypto Titans Clash,"Consumer protection and regulation are key ingredients to transforming digital assets into an asset class worth trillions. The FTX exchange's Sam Bankman-Fried weighs in. Meanwhile, FTX's FTT token takes a dive after rival Binance announces plans to dump its remaining holdings."
2022-11-07,"Solana Falls and Speculation Centers on Links to Sam Bankman-Fried’s FTX, Alameda","The SOL token fell 4.7% in the past 24 hours, and crypto traders are forming all sorts of theories as to why."
2022-11-08,"First Mover Asia: A Good Week for Exchange Tokens, Except FTT; Solana Continues Falling","During the past week, a number of exchange tokens have outperformed bitcoin, including OKX and CRO.  FTT is not among them."
2022-11-08,Binance Exchange's BNB Token Leads Broad Crypto Rebound After FTX Bailout Offer,"The exchange token used within the Binance trading environment jumped 20%, leading a broad rebound in crypto markets that had been in free fall over acute speculation that the rival FTX exchange might be facing a rapid run on deposits."
2022-11-09,DeFi Exchange Platform dYdX Places Solana in 'Close Only' Mode,The move comes after Solana has plummeted 40% in 24 hours due to its link with the beleaguered Sam Bankman-Fried empire.
2022-11-09,FTX and Alameda Contagion Fears Tank NFT Markets,Rumors of Alameda liquidating its Solana holdings are sending SOL’s price into free fall; both Solana and Ethereum-based NFT markets are getting hit hard by the news.
2022-11-09,Solana Blockchain Hit by FTX Tremors as Nearly $800M SOL Tokens Set to Be Unstaked,The scheduled-to-be-unlocked SOL tokens represent approximately 15% of its circulating supply.
2022-11-09,"Staked SOL Tokens Falter as Solana Traders, Stakers Rush for Exits",FTX’s surprise implosion has rattled the infrastructure of Solana staking.
2022-11-09,"Crypto.com Halts Solana USDC and USDT Deposits, Withdrawals",The crypto trading platform cited “recent industry events” in an email to users announcing the suspension.
2022-11-10,Helium Network Founder Pledges to Stick With Solana After Bloody Day for SOL,The wireless hotspot network voted to move to Solana in September.
2022-11-10,Panic Grips SOL With Record Volatility and Massive Put Demand,An incoming supply deluge seems to have spooked investors in both the spot and derivatives markets.
2022-11-10,"Ether, Solana Trade at Premium on FTX – Here Is (Probably) Why","The premium stems from users with trapped assets on FTX putting their money into major tokens in hopes of receiving some recovery value, one observer said."
2022-11-10,Trust Is Gained Over Time but Lost in an Instant: Analyst,"Tokens related to cryptocurrency exchange FTX, including FTT and Solana (SOL), have fallen sharply amid contagion fears. Citi Digital Asset Analyst Joe Ayoub said ""that's largely because of a lack of trust from users in these projects that are related to Sam [Bankman-Fried]."""
2022-11-10,Solana’s SOL Surges After Blockchain's Foundation Delays Plan to Unstake Tokens,A record amount of SOL was unstaked as investors reclaimed their tokens from the blockchain's security mechanism. But it could have been a lot more. The SOL price jumped 27%.
2022-11-11,"Solana Volatility Returns After FTX Bankruptcy, but What Comes Next?","The token, grappling with the market contagion, is down 4% in the past 24 hours."
2022-11-12,FTX Hack Sparks Revolution at Serum DEX as Solana Devs Plot Alameda's Ouster,Developers are scrambling to create a new version of the on-chain liquidity hub that has no ties to Sam Bankman-Fried’s burning empire.
2022-11-14,"Solana Foundation Invested in FTX, Held Millions in Sam Bankman-Fried-Linked Cryptos on Exchange",The foundation addressed the fallout of the FTX debacle in a blog post.
2022-11-15,Solana DeFi Sees Almost  $700M in Value Wiped Out on FTX Fallout,FTX founder Sam Bankman-Fried was a prominent backer of the network.
2022-11-15,Serum’s SRM Tokens Double in Price After Emergency Fork in Wake of FTX Hack,"The Serum token price rose as high as 32 cents, from a low of 12 cents just two days ago, as community members of the decentralized exchange scrambled to implement an emergency fork in the wake of security concerns triggered by the hack of Sam Bankman-Fried's FTX exchange."
2022-11-16,"Crypto Market Slides After Genesis Withdrawal Halt, but Big Investors May Hunt for Bargains","Most digital assets traded lower on Wednesday as another crypto firm gets hit by the FTX contagion, although institutional investors may be looking for bargains."
2022-11-18,Crypto Fund Sino Global Had Deep Ties to FTX Beyond Equity Investment,"A prominent Asia-based crypto investment firm, Sino invested many of the tokens hardest hit by the unraveling of Sam Bankman-Fried's FTX crypto empire, documents show. FTX was also a key partner on a big fund Sino raised with outside investors' capital."
2022-11-22,NFT Marketplace Magic Eden Expands Support for Polygon-Based NFTs,The leading Solana NFT platform will welcome a new community of Web3 gaming developers and publishers on the Polygon network.
2022-11-29,"Solana’s Top Crypto Wallet Phantom Looks to Ethereum, Polygon Next",Solana-focused crypto wallet Phantom is tapping Ethereum and Polygon for its expansion plan.
2022-11-29,"Solana-Focused Crypto Wallet Phantom Taps Ethereum, Polygon","Phantom, the leading crypto wallet in the Solana ecosystem, said Tuesday it will add support for assets on the Ethereum and Polygon blockchains, with the rollout beginning in about three months, according to a representative. ""The Hash"" panel discusses what this means for Solana and mainstream crypto adoption."
2022-11-30,"Crypto's Ugly November Draws to Close With ‘Sam Coins’ in Gutter, Bitcoin Down 18%","The FTT token, along with Serum's SRM and Solana's SOL, plunged amid the dramatic collapse of Sam Bankman-Fried's FTX exchange. Bitcoin had its worst loss in five months."
2022-12-05,Crypto Developers Reveal the Perils of Anonymity,"The total value locked on the Solana network reached billions of dollars, based in part on sham protocols by two brothers working under multiple aliases. For showing how divorced TVL can be from the truth, Ian and Dylan Macalinao share a spot on CoinDesk’s Most Influential 2022."
2022-12-07,DeFi Project Mercurial Plots Revamp and New Tokens Following 'Toxic' Association With FTX,Mercurial would launch some of its popular products as a separate project under the name Meteora.
2022-12-09,"Polygon Studios CEO on Solana, Investment in Space","Polygon Studios CEO Ryan Wyatt, who is one of CoinDesk's Most Influential 2022, weighs in on Solana. ""This space is really fragile and really nascent,"" he says. But, he explains why he is bullish about a multi-chain future."
2022-12-14,NFT Marketplace Magic Eden Rolls Out Rewards Program,"After re-enforcing royalties earlier this month, the marketplace will reward users for trading NFTs on the marketplace."
2022-12-16,Solana-Based Raydium Exchange Victim of 7-Figure Exploit,"Currently, about $2 million of different cryptocurrencies are sitting in the attacker’s account."
2022-12-19,Crypto Trading Protocol Drift Relaunches Into Rocky Solana DeFi Landscape,The derivatives trader is back after an eight-month hiatus.
2022-12-26,Solana’s Top NFT Projects DeGods and Y00ts to Migrate Chains,"DeGods will go to Ethereum, while its sister project, Y00ts, will move to Polygon with a grant from the layer 2's partnership fund."
2022-12-27,"Solana DeFi Project Mercurial to Relaunch as 'Meteora,' Replace MER Token",Mercurial is the latest to move away from FTX's shadow.
2022-12-27,"Solana’s Top NFT Projects Move to Ethereum, Polygon","DeGods and Y00ts, two of the top Solana non-fungible token (NFT) projects, confirmed to be leaving the Solana network for Ethereum and Polygon after months of speculation. ""The Hash"" panel discusses the migration and the implications for the blockchain ecosystem at large."
2022-12-28,Why Solana Was Decimated by Bankman-Fried’s Downfall,The blockchain heavily tied to the disgraced founder of FTX has been badly wounded by his unmasking. Here are the headwinds facing the formerly hot project and its SOL token.
2022-12-29,Solana Tokens Continue Steep Slide While Major Cryptos Stay Flat,"SOL has dropped nearly 8% in the past 24 hours, adding to a 20% slide over the past week."
2022-12-29,Solana Has Fallen 20% This Week as FTX Jitters Linger,"Solana (SOL) has fallen in the past 24 hours, despite most cryptocurrencies trading flat on Thursday. SOL's links to disgraced FTX founder Sam Bankman-Fried, who faces charges of fraud and misappropriation of client funds, could be adding to the recent selling pressure. ""The Hash"" panel discusses what this means for the outlook for the Solana ecosystem."
2022-12-30,Vitalik Buterin Tweets Support of Solana,"""The Hash"" panel discusses the outlook for Solana as its native token SOL erased most of Thursday’s 15% fall after Ethereum co-founder Vitalik Buterin tweeted support for the blockchain most battered by FTX’s implosion. “Some smart people tell me there is an earnest smart developer community in Solana, and now that the awful opportunistic money people have been washed out, the chain has a bright future,” Buterin tweeted shortly before SOL’s Thursday recovery began."
2022-12-30,Solana Price Rebounds as Ethereum's Buterin Tweets Support,But the “Sam coin” is still down nearly 95% this year.
2022-12-30,The Year Ahead for Crypto Markets: What to Expect,"BTG Pactual Head of Digital Assets Andre Portilho, along with Rubicon Crypto Co-Founder and CEO Greg Johnson, join ""First Mover"" to discuss the year ahead for the crypto markets in the wake of FTX's bankruptcy. And, some New Year's resolutions for the crypto industry with a focus on markets, technology and regulation. Plus, insights on Solana after Ethereum co-founder Vitalik Buterin tweeted his support for the ecosystem."
2023-01-03,Solana's SOL Token Surges 20% as Dog Coin Bonk Fires Up Community Interest,"Traders liquidated some $6.7 million worth of shorts amid rally, according to Coinglass."
2023-01-03,Solana Outlook in the Wake of Sam Bankman-Fried's Downfall,"Solana's native token SOL has fallen roughly 90% in the past 12 months following the collapse of one of its most prominent backers, FTX. Solana Foundation's Head of Strategy and Communications, Austin Federa, joins ""First Mover"" to discuss his outlook for the blockchain. Plus, insights on SOL tokens' recent surge as the newly launched Bonk token gains interest in the community."
2023-01-03,Solana Foundation Exec on FTX and Alameda's Impact on the Ecosystem,"Sam Bankman-Fried was a prominent backer of Solana, and the token has faced recent selling pressure in the wake of FTX's collapse. Solana's Head of Strategy and Communications, Austin Federa, discusses the current state of the ecosystem amid lingering crypto contagion concerns."
2023-01-03,Solana Surges as Memecoin Bonk Fires Up Community Interest,"Solana's SOL token has been jumping in the past 24 hours, while other cryptocurrencies like bitcoin (BTC) and ether (ETH) are trading sideways. This comes as interest in the Solana community is swirling around the decision by the newly launched shiba inu-themed token Bonk (BONK) to do a large airdrop. ""The Hash"" panel discusses what this means for the ecosystem at large, as the token has faced recent selling pressure due in part to Solana's close links to Sam Bankman-Fried."
2023-01-03,Solana Exec Says Platform Still Gaining New Users Despite FTX's Collapse,"Former FTX CEO Sam Bankman-Fried, who is facing fraud charges, was a big Solana proponent."
2023-01-04,"Shiba Inu-Themed BONK Tokens Are Yielding Nearly 1,000% for Solana Liquidity Providers",The meme coin is up over 150% in the past 24 hours and have recorded some of the highest trading volumes on Solana-based decentralized exchanges.
2023-01-06,Polygon Paid Top Solana Projects Y00ts and DeGods $3M to Migrate Chains,"DeLabs, the company behind the NFT projects, received a non-equity grant from the layer 2 chain to fund its expansion."
2023-01-06,Solana vs. Polygon: A Developer’s Perspective,"A look at the scalability, security and performance of two of the most popular smart contract blockchains, written by someone who has built on both and chose Solana for an upcoming wallet app."
2023-01-09,"Beaten-Down FTT, Serum Tokens Lead Altcoin Rally, Triggering Short Squeeze","Traders liquidated some $245 million worth of short positions, according to Coinglass."
2023-01-10,Solana-Based Token Bonk Inu to Mint NFTs on Magic Eden,"Bonk Inu (BONK) will offer more than 15,000 non-fungible token (NFT) collectibles on Solana marketplace Magic Eden on Tuesday, and all the tokens used to mint these NFTs will be burnt afterward. ""The Hash"" panel discusses the NFT mint and the state of Solana as the network recovered from FTX's collapse."
2023-01-10,Bernstein: Recent Gains in Some Cryptocurrencies Caused by Short Covering,"Altcoins such as solana and lido have gained more than 20% as investors betting on a decline have covered their positions, a report from the brokerage firm said."
2023-01-10,Bonk Inu to Mint NFTs on Solana-Based Marketplace Magic Eden. But There's a Catch,A representative told CoinDesk that all BONK tokens used to mint the NFTs will be permanently burned.
2023-01-11,Solana-Based Bonk Inu NFTs Surge Tenfold After Mint but Listing Attracts Criticism,A certain feature on Magic Eden led to engaged community members being distraught.
2023-01-11,Justice Department Probing Saber Labs Founders Over Solana-Based Projects: Sources,The investigation follows a CoinDesk exposé that showed Ian and Dylan Macalinao used a web of 11 pseudonymous identities to build an ecosystem of interlocking financial products around Saber.
2023-01-13,Inside Bonk Inu: How 22 Developers Put the Shiba Inu Fun Into Solana and Away From FTX,"Distraught, disgusted, and jaded: Solana’s popularity took a hit when reports of possible fraud at Sam Bankman-Fried’s then-behemoth crypto exchange FTX first came to light. But developers found a way to jump-start activity."
2023-01-13,Citi Says Solana Blockchain Activity Remains High,"Active addresses and daily NFT trading volume have returned to levels last seen before the collapse of crypto exchange FTX, a report from the bank said."
2023-01-17,"Solana Foundation, Ripple, GBBC and Others Form Partnership to Promote Crypto Solutions for Climate Change","Climate solutions ""makes the most sense"" for real-world applications of blockchain, a co-founder of the initiative told CoinDesk."
2023-01-17,"Crypto Developers Grew in Numbers Amid Bear Market, VC Firm Electric Capital Says","Developers are focusing on alternative ecosystems to Bitcoin and Ethereum, helping them grow faster, the VC firm said in a report."
2023-01-18,Ripple’s Crypto Predictions for 2023,"Ripple's SVP of Global Customer Success, and Managing Director for APAC and MENA, Brooks Entwistle, joins ""First Mover"" to discuss the payment protocol's crypto and blockchain predictions for 2023, with a focus on the real-world utility from NFTs to CBDCs. Plus, the latest on the SEC lawsuit and Ripple's partnership with Solana and Global Blockchain Business Council to explore crypto-based solutions for climate change."
2023-01-20,"Solana Blockchain SOL Token Doubles From FTX-Crash-Induced Lows, but Will It Continue to Rebound?","SOL’s price has surged 114% so far this year, slowly recovering from losses from early November."
2023-01-25,Solana Liquid-Staking Tool Marinade Looks to Bolster Its Token Value With Staked SOL Capture,"Pseudonymous Marinade developer Cerba said the effort will bring more legitimacy to mSOL, which is ahead of Lido’s Solana LSD token despite that big-name protocol’s dominance on Ethereum."
2023-01-30,DeFi Project Friktion’s Shutdown Said to Stem Partly From Founder Disagreement,"The official reason given by Friktion officials for the shutdown was that costs outpaced revenue, creating challenging economics for the Solana-based project."
2023-02-22,"Solana-Themed Storefronts Close Shop, Ending Experiment in IRL Blockchain Evangelism",Solana Spaces will close its New York City and Miami locations by the end of February.
2023-02-23,"Coinbase Rolls Out Layer 2 Blockchain Base to Provide Onramp for Ethereum, Solana","Crypto exchange Coinbase (COIN) launched Base, a layer 2 network built using Optimism's OP Stack, providing easy and secure access to Ethereum, Optimism, Solana, and other blockchain ecosystems. ""The Hash"" panel discusses the launch in the latest move bringing a new wave of mainstream crypto adoption."
2023-02-23,Solana Blockchain Well Positioned to Reassert Itself as a Genuine Layer 1 Competitor: Coinbase,"The fundamental value proposition of the Solana protocol persists from a technical perspective, the report said."
2023-02-24,"For Solana Users, 'Priority Fees' Mean Paying Up to Skip the Line","The network's developers implemented a new feature last year to let users to pay extra to avoid congestion. Even the elevated ""priority fee"" rate is still considered low, so the adoption rate is growing."
2023-02-24,Inside the mtnDAO: Solana Devs Gather for a Month-Long Utah Retreat,Solana developers are looking to rebuild following a tough few months in the wake of FTX's downfall.
2023-02-25,"Solana Network Stumbles, On-Chain Trading Slows After ‘Forking’ Incident",Some validators are downgrading their software in an attempt to restore activity.
2023-02-26,Solana Validators to Make Second Restart Attempt as Transaction Freeze Drags On,It’s still unclear what caused the service outage.
2023-02-27,"Solana Mainnet Beta Restarted, Network Resumes Processing Transactions","Solana is slightly higher in the past 24 hours after a ""significant performance degradation"" over the weekend, freezing user transactions. The Solana Foundation says an investigation is underway into the cause of the outage and will be available shortly. CoinFund Managing Partner Seth Ginns discusses the outlook for the Solana ecosystem in the wake of FTX's collapse. Plus, insights into his investment thesis for the crypto markets and the need for a ""thoughtful"" crypto regulatory regime."
2023-02-27,Solana's Price Ticking Higher After Weekend Deep Freeze,"Solana is rising higher in the last 24 hours after sluggish transaction processing spiraled into a near complete shutdown of activity on the protocol. The Solana Foundation says the root cause is ""still unknown"" and an investigation is underway. CoinDesk Managing Editor for Data and Tokens Danny Nelson discusses the latest developments."
