tag,headline,summary,,date
Cardano,Cardano Gains Smart Contract Capability Following ‘Alonzo’ Hard Fork,The latest upgrade ushers in an era of smart contract composability for the four-year-old network.,,12-09-2021
Cardano,"Cardano Smart Contracts Set for Sunday, CrossTower Launches in India",Cardano prepares for smart contract deployment on Sunday. CrossTower launches crypto trading platform in India. Animoca’s blockchain gaming platform The Sandbox launches Pororo The Little Penguin NFTs. We’ll have more on those stories and other news shaping the cryptocurrency and blockchain world in this episode of “The Daily Forkast.”,,10-09-2021
Cardano,Bitcoin Tumbles Most Since May and El Salvador Buys the Dip,Price drop triggers about $3 billion of liquidations of trading positions due to margin calls.,,07-09-2021
Cardano,Market Wrap: Bitcoin Enters September Slowdown; Cardano’s ADA at New High,"Analysts expect bitcoin to weaken this month, as it has in the past, before the next leg up.",,02-09-2021
Cardano,Cardano’s ADA Tops $3 for First Time as Smart Contracts Enter Test Mode,The token is getting close to $100 billion in market cap,,02-09-2021
Cardano,Why Are Altcoins Outperforming Bitcoin?,"CoinDesk’s Galen Moore discusses his crypto markets analysis and outlook in response to a chart illustrating altcoins outperforming bitcoin in August. “When you see a chart like this with Cardano and XRP in the top three, that is certainly an indicator of retail froth,” Moore said. Plus, his take on growing institutional interest in crypto.",,01-09-2021
Cardano,Solana’s SOL Token Nearly Tripled in August as Investors Bet on ‘Ethereum Killers’,Terra’s LUNA and Cardano’s ADA also surged as Ethereum’s scalability issues pushed investors to speculate on alternative DeFi base layers.,,01-09-2021
Cardano,Market Wrap: Bitcoin Slips Below $48K as Focus Shifts to Regulation,Bitcoin is in pullback mode as China and the SEC have traders’ attention.,,31-08-2021
Cardano,Market Wrap: Bitcoin Consolidates as Altcoin Season Heats Up,Bitcoin’s rally is taking a breather as altcoins outperform.,,30-08-2021
Cardano,Investors Add to Altcoin Funds as Bitcoin Outflows Mount,Digital-asset funds focused on Cardano and other altcoins have attracted fresh capital.,,30-08-2021
Cardano,Market Wrap: Bitcoin and Stocks Rise on Dovish Fed,"Bitcoin returns above $48,000 as risk rally continues.",,27-08-2021
Cardano,Cardano’s ADA Token Surges as Fresh Buyers Jump In,"The coming launch of smart contracts into the network is providing a boost, one research firm said.",,27-08-2021
Cardano,Bitcoin Eyes 200-Day Moving Average Support as $2B Options Expiration Nears,"Bitcoin is again experiencing moderate price turbulence while heading into the monthly options expiration. CoinDesk's Damanick Dantes discusses his assessment and outlook for bitcoin as the cryptocurrency has reversed Wednesday’s gains and exposed the widely tracked 200-day moving average (MA) line located at $46,040. Plus, his take on the explosive growth of altcoins, including Cardano (ADA) and Avalanche platform's AVAX token.",,26-08-2021
Cardano,"Market Wrap: Bitcoin Back Above $48K, Expect Consolidation",Cryptos gain alongside stocks.,,25-08-2021
Cardano,Cardano Alonzo Hard Fork: What You Need to Know,Cardano prepares to enter the decentralized application space as smart contract functionality arrives.,,23-08-2021
Cardano,Market Wrap: Bitcoin Rallies Ahead of $50K Resistance,Bitcoin rallied after Coinbase announced it will add crypto to its balance sheet.,,20-08-2021
Cardano,"Cardano Price Hits All-Time High, Overtakes Binance Coin as Third-Most Valuable Crypto",ADA's price is up a staggering 19% on the day and has unseated BNB as third-most valuable crypto by market cap.,,20-08-2021
Cardano,Cardano Nears All-Time High as Investors Await Smart Contracts,Expectations are rising for the blockchain to implement smart-contract functionality by next month.,,19-08-2021
Cardano,Market Wrap: Bitcoin Expected to Hold Support Above $45K,Analysts expect bitcoin to remain above its 200-day moving average.,,19-08-2021
Cardano,Bitcoin Little Changed Above $44K Despite Hack of Japan's Liquid Exchange,"""We still have support at $44,000 and $42,000, which is the line in the sand for short-term momentum,"" one investment officer said.",,19-08-2021
Cardano,Market Wrap: Bitcoin Trades Sideways as Institutional Demand Expected to Rise,Bitcoin and other cryptocurrencies are consolidating near recent highs.,,18-08-2021
Cardano,State of Bitcoin: ‘Calm Before the Storm?’,"As bitcoin’s short-squeeze rally takes a breather, the world’s largest cryptocurrency by market cap is stalling ahead of the $50,000 resistance level and remains stuck in a sideways range.",,17-08-2021
Cardano,Market Wrap: Bitcoin Rally Expected to Pause,Analysts expect traders to take a breather after the crypto's recent rally.,,16-08-2021
Cardano,Cryptocurrency Market Tops $2T for First Time Since May,"Bitcoin is joined by ether and cardano, which have surged 11% and 53% in the last seven days respectively.",,16-08-2021
Cardano,Market Wrap: Ethereum Keeps Burning and Price Is Hot,The largest cryptocurrency by market value was trading close to its highest level in more than two months,,13-08-2021
Cardano,Cardano Jumps on Signals Smart Contracts Coming Next Month,The plan to add smart contracts next month could defy skeptics who have bet that the functionality wouldn't come anytime soon.,,13-08-2021
Cardano,"Largest Hack in DeFi History, ADA Hits Two-Month High","Poly Network suffers the largest hack in DeFi history. Small and mid-sized miners suffer in China exodus, and Cardano’s ADA hits a two-month high. We’ll have more on that story and other news shaping the cryptocurrency and blockchain world in this episode of “The Daily Forkast.”",,11-08-2021
Cardano,"Unocoin Offers Bitcoin Vouchers, Alonzo Upgrade Onboards Users","Cardano’s Alonzo Purple upgrade begins onboarding users. Indian crypto exchange Unocoin offers bitcoin gift vouchers, and Axie Infinity growth continues. We’ll have more on that story and other news shaping the cryptocurrency and blockchain world in this episode of ""The Daily Forkast.""",,09-08-2021
Cardano,Market Opens Betting That Cardano Won't Release Smart Contracts by Oct. 1,"The odds are 63-37 against, according to recent trading levels on Polymarket.",,15-07-2021
Cardano,The Headache of 'Crypto Colonialism',"Blockchains can’t rebuild roads or end sectarian violence, famine or natural disasters.",,14-07-2021
Cardano,Grayscale Adds Cardano to Its Digital Large Cap Fund,The digital-asset manager sold some existing constituents of the fund and used the proceeds to purchase ADA.,,02-07-2021
Cardano,"Security Audit Firm Raises $5.3M From Funds Investing in Polkadot, Cardano Blockchains","Runtime Verification checks smart contracts for errors, perhaps most famously with Uniswap.",,18-06-2021
Cardano,Market Wrap: Attempts to Push Bitcoin Above $40K Stall,Some analysts are optimistic while others prefer to see stronger signs of upside momentum before calling a bottom.,,15-06-2021
Cardano,Ethereum and XRP Looking More Attractive as Investors Rush to Exit Bitcoin Funds,"Investors redeemed a net $141 million during the seven days through June 4, the highest weekly total on record, according to CoinShares.",,07-06-2021
Cardano,SpaceChain Shoots Blockchain to Space; Cardano’s Bridge to China,"Singapore startup SpaceChain will send its blockchain tech to the International Space Station aboard Falcon 9. Cardano announces its first cross-chain bridge with China’s Nervos Network. Indian cryptocurrency exchange WazirX and Korbit in South Korea launch,  their nation's first NFT platforms. We’ll have more on that story – and other news shaping the cryptocurrency and blockchain world – in this episode of The Daily Forkast, June 2.",,03-06-2021
Cardano,Cardano to Launch Its First Cross-Chain Bridge With Link to  Nervos,"The launch, due in weeks, marks a first for the three-and-a-half year old Cardano network.",,02-06-2021
Cardano,"Market Wrap: ‘Oversold’ Bitcoin Down to $35K, ETH Drops to $2.5K",The past weekend saw the lowest number of bitcoin transfers from exchanges in 2021.,,01-06-2021
Cardano,"Market Wrap: Weak PayPal Pump Leaves Market Mostly Flat With BTC at $38K, ETH $2.7K",Bitcoin’s 30-day volatility has been dropping the past two days. So has gold's.,,27-05-2021
Cardano,Crypto Funds Suffer 2nd Straight Week of Outflows; Investors Rotate Toward Altcoins,"Investors exited digital asset funds amid the crypto sell-off, and have diversified into altcoin products.",,24-05-2021
Cardano,"Market Wrap: Bitcoin Leverage Costs Get Cheap, Ether Volatility Jumps","BTC had climbed from $35,709  to as high as $42,441. Then the slide started.",,20-05-2021
Cardano,"Bitcoin Back to $42K, Nearly Recovering All of Wednesday's Losses","That didn't take long: Bitcoin is already back to where it was at the start of Wednesday, just before the biggest sell-off in 14 months.",,20-05-2021
Cardano,DBS Digital Asset Exchange Performance; Cardano Connects Africa Online,"Since its launch, Singapore’s DBS Bank’s Q1 performance unveiled how its digital assets exchange performed for the first time.",,19-05-2021
Cardano,"Market Wrap: Ether Climbs, Pushing Past 'Musk Dip' as Crypto Volatility Increases",Investors are buying and no longer panicking.,,18-05-2021
Cardano,Swiss Asset Manager Valour Launches Cardano and Polkadot ETPs,"Fully backed by ADA and DOT, the products are listing on the Nordic Growth Market.",,18-05-2021
Cardano,"Bitcoin, Ether Dive While Some Alternative Cryptocurrencies Hit Record Highs",The balance of bitcoin held on major exchanges is on the rise in what some analysts say is a bearish sign.,,15-05-2021
Cardano,Market Wrap: Bitcoin Falls for Second Straight Day After Tesla Action; Ether Follows,"“What saddens me is the way the weak hands and recent buyers see Elon Musk as a prophet, powerhouse and decisive figure in bitcoin,” said one trader.",,13-05-2021
Cardano,Market Wrap: 'Ethereum Killers' Pop as ING Report Highlights Ethereum Over Bitcoin,"Atcoins are rising, ether hits another all-time high and bitcoin’s correlation to gold drops to zero.",,06-05-2021
Cardano,Ethereum Co-Founder Anthony Di Iorio: ‘I Don’t See Things Stopping for Ether’,"Ether is booming, setting new all-time highs almost daily, but what’s behind the cryptocurrency’s recent success? Ethereum co-founder Anthony Di Iorio joins “First Mover” to discuss the bull market driving Ether’s rise, Canadian ETFs, and the NFT craze. Plus, his thoughts on “Ethereum killer” projects like Polkdadot and Cardano.",,06-05-2021
Cardano,Cardano Staking Goes Live on Kraken Exchange,"ADA staking was launched on Tuesday, the exchange said.",,05-05-2021
Cardano,Cardano in Africa: Inside IOHK's Ethiopia Blockchain Deal,"Ethiopian schools will use the Cardano blockchain to track student performance, the government said.",,30-04-2021
Cardano,Ethiopian Education Minister Confirms Cardano Blockchain Partnership,Cardano builder IOHK said it is beginning to develop the code and does not expect to launch the project before 2022.,,30-04-2021
Cardano,21Shares Launching Stellar and Cardano ETPs on SIX Exchange,The XLM and ADA vehicles will go live on Monday.,,22-04-2021
Cardano,Revolut Adds 11 Cryptocurrencies to Its Trading Offerings,"Cardano (ADA), uniswap (UNI) and filecoin (FIL) were among those added.",,09-04-2021
Cardano,Cardano Venture Fund Makes First Investment: $500K in Payments Firm COTI,"Rather than reinventing DeFi on a faster version of Ethereum, Cardano is doing something different, said COTI CEO Shahaf Bar-Geffen.",,06-04-2021
Cardano,Market Wrap: Bitcoin Stuck Below $60K; Cardano’s Sixfold 1Q Gains Led CoinDesk 20,$60K is a key psychological level that has also proven a formidable stopping point during this year’s powerful rally.,,01-04-2021
Cardano,'Altcoin Season' Leaves Some Bitcoin Alternatives Frozen,"Index data points to a changing of the altcoin guard, as Web 3.0 surges.",,22-03-2021
Cardano,Cardano's ADA Is Now Tradable on Coinbase,"ADA is currently the third-largest cryptocurrency, with a market capitalization of $41.9 billion.",,19-03-2021
Cardano,Coinbase Pro Adds Support for Cardano's ADA,Trading will start on March 18 if sufficient supply of ADA is established on the platform.,,16-03-2021
Cardano,Why Is Cardano's Token Price on a Recent Bull Run?,"""The Hash"" panel discusses why Cardano’s ADA token tripled in value February and is now the third-largest cryptocurrency by market cap.",,02-03-2021
